id,source_line,rating,reference,prediction,correct,llm_emotion,lexicon_emotion,emotion_agreement,title,text,matched_words
136,95903,5.0,POSITIVE,POSITIVE,True,joy,,,great to use,liked points,
137,129479,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,I really like these gift cards,I really like these gift cards. They are a lot nicer than the gift cards you can buy in the stores.,gift gift gift
138,112943,5.0,POSITIVE,POSITIVE,True,joy,anticipation,False,Nice Packaging of the Gift Card,Loved the box it came in!,gift
139,144315,3.0,NEUTRAL,NEGATIVE,False,anger,anticipation,False,How much is on the card?,I ordered several gift cards at different amounts.  They all came in the same package and there's no way to tell which one is which.,gift
140,146498,3.0,NEUTRAL,NEGATIVE,False,surprise,,,Confusing!!,Very confusing!,
141,137927,1.0,NEGATIVE,NEGATIVE,True,anger,anger,True,RIP OFF,What a rip off had on watch list and hit add to cart right away and put on waiting list,watch hit
142,131420,5.0,POSITIVE,POSITIVE,True,joy,joy,True,Five Stars,excellent,excellent
143,123616,3.0,NEUTRAL,NEGATIVE,False,anger,joy,False,Nice product but…,Purchased these to add to teacher appreciation gifts. The gift card holders/envelopes are really nice and make for very nice presentation. However I ordered three and one came destroyed. There are no holes in the plastic but it is stretched like someone purposely ripped the envelope open. The claim sticker is not removed so I don’t believe the gift card has been compromised. But if someone ordered these they are likely for a gift so why would you send one that is destroyed.,teacher appreciation gift destroyed don gift gift destroyed
144,37839,5.0,POSITIVE,POSITIVE,True,trust,,,Five Stars,just what i asked for,
145,90794,1.0,NEGATIVE,NEGATIVE,True,sadness,anticipation,False,Delivery,Missed promised date,delivery
146,40023,1.0,NEGATIVE,POSITIVE,False,trust,anticipation,False,One Star,works fine,star
147,103801,3.0,NEUTRAL,NEUTRAL,True,trust,,,No specific comments,No specific comments,
148,109835,3.0,NEUTRAL,NEGATIVE,False,sadness,,,It wasn't like the one on this page,I wasn't impressed with the tin. It wasn't like the one on this page. Get candy crush jelly saga.,
149,104241,5.0,POSITIVE,POSITIVE,True,joy,,,Five Stars,Great,
150,52024,3.0,NEUTRAL,NEGATIVE,False,fear,anticipation,False,Filling a leaky bucket,"The process is easy, which is good because Kindle raids that balance first.  When you go back later to use the balance, it's reduced or gone.",good
